Area,Category,Item,Description,Date,Orders,Type of Order
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,24-01-2023,158,Online
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,02-10-2022,13,Takeaway
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,27-07-2022,60,Dining
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,27-08-2022,167,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,08-05-2023,167,Dining
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,19-02-2023,176,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,10-12-2022,4,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",21-03-2022,61,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",04-01-2022,35,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",20-05-2022,71,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,02-12-2022,37,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,31-01-2023,88,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,25-04-2023,183,Dining
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,06-01-2023,73,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",23-03-2023,74,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",20-05-2023,114,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",21-02-2023,183,Takeaway
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",13-06-2023,179,Online
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,03-04-2022,165,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,18-01-2022,180,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,21-10-2022,10,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,21-06-2023,167,Takeaway
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,20-09-2023,158,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",09-12-2021,82,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",28-12-2022,166,Takeaway
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,01-04-2023,113,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,31-08-2023,57,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,22-08-2022,133,Dining
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",04-04-2022,53,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,31-03-2022,98,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,12-10-2023,53,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,08-01-2022,145,Dining
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,14-03-2022,17,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,14-06-2022,135,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",16-07-2023,138,Online
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",13-05-2022,48,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,03-02-2023,63,Takeaway
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",02-08-2022,4,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,16-07-2022,119,Takeaway
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",10-03-2022,52,Takeaway
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,06-10-2023,115,Takeaway
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",10-06-2022,70,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",13-06-2023,51,Online
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,07-01-2023,44,Dining
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,12-10-2023,189,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,20-01-2023,134,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",28-01-2022,35,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,29-12-2022,105,Takeaway
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,18-04-2023,100,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,04-10-2022,117,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,08-09-2022,45,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",20-11-2021,28,Dining
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",15-03-2023,58,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,30-01-2023,94,Online
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,29-10-2023,161,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,07-01-2022,64,Online
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,12-06-2022,158,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,03-08-2023,154,Takeaway
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",13-12-2022,117,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,05-04-2023,123,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,19-12-2022,183,Online
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,18-07-2023,56,Takeaway
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,04-02-2022,85,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,04-09-2023,167,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,16-07-2023,123,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,22-01-2022,34,Online
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,24-06-2023,164,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,03-09-2023,99,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,31-01-2022,126,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,05-06-2022,147,Takeaway
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,24-07-2023,77,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,15-06-2022,148,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,17-03-2022,16,Dining
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,16-04-2022,77,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,06-09-2022,102,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,09-08-2023,128,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,29-03-2022,101,Takeaway
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",16-01-2022,188,Dining
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,23-09-2022,16,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,01-05-2022,187,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,19-08-2022,37,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",12-02-2022,71,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",08-04-2023,175,Online
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,07-01-2023,97,Dining
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,24-01-2023,180,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",28-01-2023,97,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,26-02-2023,41,Online
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,09-04-2023,178,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,03-04-2022,23,Online
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,30-03-2022,77,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",06-08-2023,82,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,27-09-2022,200,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",01-07-2022,80,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,22-03-2022,40,Online
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,01-09-2023,138,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,28-04-2022,81,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,09-04-2023,26,Online
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,10-01-2022,41,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,15-07-2022,6,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,13-10-2023,87,Dining
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,17-03-2022,148,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",28-09-2022,58,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,17-01-2023,40,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,26-08-2022,48,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,25-10-2023,164,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,14-01-2023,134,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,13-09-2022,175,Takeaway
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,03-10-2022,177,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,03-12-2021,92,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,07-03-2023,37,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",07-04-2023,113,Takeaway
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,16-07-2023,104,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",28-10-2023,130,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,18-06-2023,31,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",09-08-2023,151,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,14-08-2023,150,Takeaway
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,23-08-2022,111,Takeaway
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,03-05-2023,38,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,15-01-2023,51,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,19-12-2022,133,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,06-07-2023,180,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,17-03-2023,129,Dining
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",14-07-2023,162,Dining
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,30-06-2023,123,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,05-05-2023,32,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,12-02-2023,178,Online
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,11-02-2023,85,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,11-07-2023,173,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,07-04-2022,8,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,06-01-2023,164,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",22-10-2022,123,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,15-03-2022,90,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",19-04-2023,25,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,08-01-2023,151,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",15-09-2023,165,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,16-07-2022,105,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,24-10-2023,59,Dining
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,11-09-2023,112,Takeaway
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,02-09-2022,143,Takeaway
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,15-09-2022,55,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,29-07-2022,20,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,29-04-2023,15,Online
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,06-10-2022,111,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,06-02-2022,185,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,05-05-2022,6,Takeaway
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,24-12-2021,134,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,08-11-2022,159,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,01-07-2023,190,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,12-09-2022,96,Online
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,27-09-2023,49,Online
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,04-10-2023,21,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,27-10-2022,9,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,01-05-2023,195,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,25-05-2023,163,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,19-06-2023,195,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",06-08-2023,65,Dining
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,09-04-2022,67,Dining
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,20-03-2022,135,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,08-07-2022,48,Dining
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,28-10-2022,148,Takeaway
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,19-03-2022,142,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",11-05-2023,122,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,16-10-2022,59,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,03-03-2022,140,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,07-02-2023,64,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,20-09-2023,58,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,18-05-2022,179,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,11-11-2021,84,Takeaway
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,05-01-2023,195,Dining
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,06-03-2023,90,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,16-12-2021,64,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,09-11-2022,21,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,27-02-2023,36,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",29-10-2022,80,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,31-08-2023,135,Online
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,28-08-2023,180,Dining
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,15-04-2022,81,Online
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,21-05-2023,56,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,05-04-2023,56,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,11-12-2021,112,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",06-11-2021,21,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,04-03-2023,55,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,09-02-2022,164,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",24-04-2022,97,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,27-10-2023,153,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,11-06-2023,107,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,26-01-2023,47,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,16-04-2022,11,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",13-09-2023,117,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,20-11-2022,178,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,29-12-2021,144,Online
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,19-01-2022,116,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,13-01-2022,110,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,03-12-2022,42,Takeaway
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,05-09-2022,1,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,28-12-2021,126,Dining
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,28-07-2022,144,Online
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,29-01-2023,14,Dining
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",06-09-2022,23,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,10-04-2023,67,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,19-06-2023,7,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,20-09-2023,199,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,06-06-2023,176,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,31-01-2022,127,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,08-06-2022,74,Dining
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,16-08-2023,15,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,29-11-2022,133,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,05-04-2023,112,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",01-12-2022,172,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",07-12-2021,45,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,04-09-2023,146,Takeaway
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,08-05-2023,7,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,05-03-2022,42,Takeaway
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,08-04-2022,47,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",17-07-2023,143,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",29-07-2022,105,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,20-03-2022,76,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",27-08-2022,131,Takeaway
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,14-05-2023,175,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,21-05-2023,111,Takeaway
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,09-01-2022,164,Dining
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,03-11-2021,51,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,18-06-2022,79,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",19-05-2023,25,Dining
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,01-08-2023,84,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,01-03-2023,25,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",22-05-2023,28,Online
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,12-05-2023,94,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,26-07-2023,26,Online
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",17-10-2022,22,Dining
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,25-05-2023,195,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",12-12-2021,120,Dining
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",04-05-2022,137,Takeaway
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,04-01-2023,73,Takeaway
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,05-04-2022,81,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,26-05-2023,45,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",23-11-2021,46,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",20-10-2023,178,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,16-06-2022,44,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",29-03-2023,113,Online
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",14-07-2022,187,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,09-10-2023,163,Takeaway
